text,tag
петровск продолжа научнотеоретическ научнопрактическ исследован направлен машиноведен машиностроен соответств план развит научн деятельн цел 1,1
провод русл изучен след научн проблем традицион инженерн научн школ научнотехническ вестник государствен 2019 1 nauchnotekhnichesk vestnik bryansk gosudarstven universitet 2019,0
22281 24139920201905010925 10 проектирован моделирован рабоч процесс рисканализ манипуляцион систем мобильн транспортнотехнологическ машин комплекс проектирован моделирован рабоч процесс конвейер подвесн грузонесущ лент распределен привод оптимальн проектирован моделирован рабоч процесс инновацион мехатрон систем основ канатн технолог совершенствован надземн транспортн инфраструктур крупн город территор,1
объект промышлен собствен област манипуляцион систем мобильн машин комплекс манипуляцион систем устанавлива мобильн машин комплекс найт настоя врем широк применен различн отрасл экономик российск федерац 2,1
приводн шарнирн соединен шарнирносочленен смежн звен крановманипулятор конструкц приводн шарнирн соединен шарнирносочленен смежн звен гидравлическ крановманипулятор мобильн машин защит патент полезн модел 3,0
дан объект промышлен собствен относ област подъемнотранспортн машиностроен имен конструкц гидравлическ крановманипулятор установлен базов транспортн средств предназнач выполнен погрузочноразгрузочн строительномонтажн транспортн складск работ,1
конструкц позволя улучш основн техническ характеристик гидравлическ крановманипулятор мобильн машин номинальн грузоподъемн объест рабоч зон надежн,0
приводн шарнирн соединен явля альтернативн вариант традицион конструкц шарнирн соединен выносн силов гидродвигател,0
внешн вид трехзвен гидравлическ кранаманипулятор шарнирн соединен котор выполн соответств предлож 3 конструкц привест,0
2 3 показа конструкц модернизирова узел элемент,0
концев торцев сечен стрел 3 котор явля ближн опорн конструкц 1 звен помощ сварк неподвижн креп цилиндрическ обечайк 12,0
торцов герметичн закрыва съемн торцев крышк 13 имет центральн отверст 14,0
кажд торцев крышк 13 выполн центральн расточк котор натяг устанавлива подшипник качен 17 друг уплотнительн манжет 18,0
исключен осев смещен подшипник 17 внутрен поверхн торцев крышк 13 креп предохранительн кольц 19,0
внутрен поверхн обечайк 12 равн углов расстоян 120ы креп радиальн располож перегородк 21,0
сторон кажд перегородк 21 непосредствен близост стенк обечайк 12 выполня радиальн сквозн резьбов отверст 24 кажд котор снаруж устанавлива штуцер 25 присоединен подъемн трубопровод 26 опускн трубопровод 27 подач отвод рабоч жидкост гидросистем силов гидропривод кранаманипулятор,0
внутр обечайк 12 подшипник качен 17 установлен ротор 28,0
конец вывест наруж центральн отверст торцев крышк 13,0
конец ротор 28 выполн шлицев паз 29,0
центральн цилиндрическ част ротор 28 помощ призматическ шпонк 30 закреп втулк 31 котор равн углов расстоян 120ы креп радиальн располож лопаст 32,0
